restaurant_code,restaurant_name,img_link,region,category,address,open_time,close_time,tel_no,tags,character,latitude,longitude
10,모리식탁,https://d12zq4w4guyljn.cloudfront.net/300_300_20250208122451819_photo_75637b91f7d4.jpg,신대방삼거리역,"이자카야,숙성회",서울특별시 동작구 국사봉1길 31 2층,17:30,00:50,0507-1449-1180,"술모임,데이트","캐주얼한,분위기좋은,저녁식사,칸막이,반려동물동반,배달",37.4990877995739,126.930195719417
11,쌍둥이네풍천장어,https://d12zq4w4guyljn.cloudfront.net/300_300_20251030051626_photo1_ca54183e4bf0.webp,신대방삼거리역,"장어,장어구이",서울특별시 동작구 여의대방로22길 98 1층,11:00,22:00,0507-1309-7944,"식사모임,몸보신","서민적인,여름보양식,점심식사,저녁식사,셀프바,예약가능,무료주차",37.4977611427389,126.925451517201
12,카페아뜨레,https://d12zq4w4guyljn.cloudfront.net/300_300_20260115042733_photo1_6dd1aeec37d2.webp,신대방삼거리역,"빙수,단팥죽",서울특별시 동작구 여의대방로22길 132 1층 101호,11:00,22:00,010-7297-0912,"차모임,기념일","깔끔한,크리스마스,점심식사,저녁식사,매장식사,예약가능",37.4981513585394,126.927168804832
13,매콤달콤떡볶이 성대시장점,https://d12zq4w4guyljn.cloudfront.net/300_300_20240814153404_photo1_3c232e2fcc86.webp,신대방삼거리역,"떡볶이,분식",서울특별시 동작구 국사봉1길 7 양지보습학원,10:30,22:00,02-822-2701,"간식,혼자먹기","캐주얼한,매콤,점심식사,저녁식사,와이파이,배달",37.4990061430466,126.928944136335
14,원조부안집 신대방삼거리역점,https://d12zq4w4guyljn.cloudfront.net/300_300_20260404201216_photo1_1b667076b3d7.webp,신대방삼거리역,"고기집,목살",서울특별시 동작구 상도로12길 20 1층,14:00,01:00,0507-1495-8314,,"서민적인,국내산,저녁식사,연탄불,무료주차",37.4992010460733,126.929270098581
15,오다 신대방삼거리점,https://d12zq4w4guyljn.cloudfront.net/300_300_20250206043017906_photo_75637b91f7d4.jpg,신대방삼거리,"이자카야,술집",서울특별시 동작구 보라매로 96 1층,17:00,00:00,0507-1351-3708,"술모임,데이트","고급스러운,분위기좋은,저녁식사,콜키지,배달",37.4977845738271,126.928223690395
16,즉석 바지락손칼국수,https://d12zq4w4guyljn.cloudfront.net/300_300_20240511043115127_photo_2b1aa17e041c.webp,신대방삼거리역,바지락칼국수,서울특별시 동작구 상도로 77 바지락손칼국수,11:00,21:00,0507-1363-9686,"식사모임,혼밥","서민적인,깔끔한,점심식사,저녁식사,셀프코너,와이파이",37.4998934449643,126.929229638007
17,네모오징어 신대방삼거리역점,https://d12zq4w4guyljn.cloudfront.net/300_300_20250708224144_photo1_b0a87423fd30.webp,신대방삼거리역,"오징어,갑오징어",서울특별시 동작구 여의대방로24길 107 1층,11:00,22:00,0507-1371-8654,"회식,단체모임","서민적인,깔끔한,점심식사,저녁식사,유아의자,배달",37.4991856698567,126.925939095155
18,태화네칼국수,https://d12zq4w4guyljn.cloudfront.net/300_300_20240803104650859_photo_3dbdb59e9149.webp,신대방삼거리,칼국수,서울특별시 동작구 상도로 103,10:30,21:00,02-815-8777,"혼밥,실버푸드","서민적인,깔끔한,점심식사,저녁식사",37.5007046805293,126.931782120252
19,기계우동,https://d12zq4w4guyljn.cloudfront.net/300_300_20250207125001670_photo_75637b91f7d4.jpg,신대방삼거리역,기계우동,서울특별시 동작구 여의대방로24길 140 기계우동,11:00,03:00,02-821-9397,"혼밥,야식","서민적인,노포,점심식사,저녁식사,야외테이블",37.4989765400523,126.92782131309
20,먹거리장터,https://d12zq4w4guyljn.cloudfront.net/300_300_20251226205148_photo1_e51421615276.webp,신대방삼거리,포차,서울특별시 동작구 여의대방로24차길 48 샬롬마트,,,02-812-1101,"술모임,간단하게한잔","서민적인,2차,바깥자리",37.4988567675559,126.927921737318
21,동화장,https://d12zq4w4guyljn.cloudfront.net/300_300_20241207034747_photo1_b27a90652516.webp,신대방삼거리역,"짜장면,중국집",서울특별시 동작구 여의대방로24길 137,11:00,20:30,02-821-3322,"식사모임,해장","서민적인,동네맛집,점심식사,저녁식사",37.499237382657,126.927676195719
22,스미비부타동 신대방삼거리역점,https://d12zq4w4guyljn.cloudfront.net/300_300_20250201104826_photo1_b27a90652516.webp,신대방삼거리역,"일본가정식,부타동",서울특별시 동작구 국사봉1길 4 스미비부타동,11:30,21:00,0507-1421-1829,혼밥,"깔끔한,아담한,점심식사,저녁식사,바테이블,다찌석",37.4987738088069,126.928852981582
23,술탄.PUB,https://d12zq4w4guyljn.cloudfront.net/300_300_20250207020503262_photo_75637b91f7d4.webp,신대방삼거리,"술집,김치닭볶음탕",서울특별시 동작구 국사봉5길 1 1층,16:00,05:00,0507-1384-0437,낮술,"안주,분위기좋은,저녁식사",37.4977695288126,126.930333780857
24,사이야,https://d12zq4w4guyljn.cloudfront.net/300_300_20240721013547001_photo_75637b91f7d4.jpg,신대방삼거리,"이자카야,술집",서울특별시 동작구 보라매로 99,18:00,03:00,0507-1371-6425,"술모임,간단하게한잔","서민적인,안주,저녁식사,테라스,바테이블",37.4981984895548,126.927769476569
25,달맥 신대방삼거리역점,https://d12zq4w4guyljn.cloudfront.net/300_300_20241101033453446_photo_75637b91f7d4.webp,신대방,"치킨,생맥주","서울특별시 동작구 보라매로 98-1 1층, 2층",16:30,01:00,02-813-9909,"술모임,간단히먹기","캐주얼한,안주,저녁식사,연중무휴,테라스,반려동물동반",37.4981039670076,126.928349815669
26,청송얼음막걸리 신대방삼거리역점,https://d12zq4w4guyljn.cloudfront.net/300_300_20241214101321753_photo_fa9e10bbe65d.webp,신대방삼거리,"막걸리,술집",서울특별시 동작구 여의대방로24길 133 1층 청송,14:30,06:00,0507-1408-0338,"술모임,데이트","서민적인,안주,저녁식사",37.4992857373705,126.927481410649
27,퓨전포차 술술술,https://d12zq4w4guyljn.cloudfront.net/300_300_20240429112629537_photo_75637b91f7d4.webp,신대방삼거리,"포차,골뱅이소면",서울특별시 동작구 국사봉길 33 1층 퓨전포차 술술술,17:00,01:00,0507-1481-4779,술모임,"서민적인,안주,저녁식사",37.4979243176186,126.929718446668
28,춘리마라탕 신대방삼거리점,https://d12zq4w4guyljn.cloudfront.net/300_300_20260201101820_photo1_aec27fd59f7e.webp,신대방삼거리역,"마라탕,꿔바로우",서울특별시 동작구 국사봉1길 18 2001호,10:00,03:00,0507-1491-0480,"혼밥,야식","캐주얼한,청결한,점심식사,저녁식사,연중무휴,셀프바",37.4986551850367,126.929518840656
29,상도감자탕,https://d12zq4w4guyljn.cloudfront.net/300_300_20250207035721668_photo_75637b91f7d4.jpg,신대방삼거리역,"감자탕,뼈해장국",서울특별시 동작구 국사봉길 12 1층 105호,17:00,22:00,02-815-2009,"혼밥,해장","캐주얼한,얼큰,저녁식사,셀프바,배달",37.4985308036648,126.928697264633
30,단길,https://d12zq4w4guyljn.cloudfront.net/300_300_20240828041520764_photo_75637b91f7d4.webp,신대방삼거리,술집,서울특별시 동작구 보라매로 96-1 1층,18:00,02:00,0507-1344-3087,"술모임,혼술","서민적인,안주,저녁식사,콜키지,예약가능",37.4978928860534,126.928242245986
31,육전국밥 신대방삼거리역점,https://d12zq4w4guyljn.cloudfront.net/300_300_20241226053213_photo1_8ce0f4adbb15.webp,신대방삼거리역,"소고기국밥,육전국밥",서울특별시 동작구 상도로 71 1층,00:00,24:00,02-3280-4504,"술모임,해장","지역주민이찾는,깔끔한,아침식사,점심식사,저녁식사,연중무휴,셀프바,유아의자,무료주차",37.500025638736,126.92865739277
32,보드람치킨,https://d12zq4w4guyljn.cloudfront.net/300_300_20250207125132921_photo_75637b91f7d4.jpg,신대방,"치킨,후라이드",서울특별시 동작구 보라매로 96-1,15:00,02:00,02-813-7979,"술모임,야식","서민적인,저렴,저녁식사,배달",37.4978928860534,126.928242245986
33,우이락 신대방삼거리점,https://d12zq4w4guyljn.cloudfront.net/300_300_20260407145030_photo1_6a4c2d126da1.webp,신대방삼거리역,"술집,고추튀김",서울특별시 동작구 여의대방로24길 129 1층,17:00,02:00,070-8806-5431,"술모임,혼술","캐주얼한,안주,저녁식사,바자리,다찌석",37.4993389083699,126.92720734555
34,정송숙12년전통 오렌지김밥 상도동점,https://d12zq4w4guyljn.cloudfront.net/300_300_20250207113547069_photo_75637b91f7d4.webp,성대시장,"김밥,분식",서울특별시 동작구 성대로2길 7 1층,09:00,20:00,02-815-2934,"혼밥,해장","서민적인,깔끔한,아침식사,점심식사,저녁식사,배달",37.4993656537497,126.931709717703
35,미분당 신대방삼거리점,https://d12zq4w4guyljn.cloudfront.net/300_300_20250531122758_photo1_f1ea2e035470.webp,신대방삼거리역,베트남쌀국수,서울특별시 동작구 보라매로19길 25 1층 미분당 신대방삼거리점,11:00,21:00,0507-1370-5455,"혼밥,데이트","캐주얼한,깔끔한,점심식사,저녁식사,바테이블,매장식사",37.4977851154504,126.926322709889
36,파도회,https://d12zq4w4guyljn.cloudfront.net/300_300_20250207040621831_photo_75637b91f7d4.webp,신대방삼거리,"횟집,포차",서울특별시 동작구 신대방동 여의대방로24차길 48,,,02-821-5576,술모임,"서민적인,야장,야외자리,예약불가",37.4988567675559,126.927921737318
37,치킨89 신대방점,https://d12zq4w4guyljn.cloudfront.net/300_300_20250130105205322_photo_75637b91f7d4.webp,신대방,"치킨,술집",서울특별시 동작구 보라매로 98-5 1층 치킨89,14:00,00:00,0507-1444-8801,"술모임,낮술","서민적인,야장,저녁식사,바깥자리,배달",37.4979282592536,126.928479467561
38,홍가네반찬,https://d12zq4w4guyljn.cloudfront.net/300_300_20241123085509515_photo_75637b91f7d4.webp,신대방삼거리역,"게장,양념게장",서울특별시 동작구 국사봉1길 45,08:00,20:00,02-822-7788,,"서민적인,다양한반찬,배달",37.4992744023286,126.930969862711
39,계림원,https://d12zq4w4guyljn.cloudfront.net/300_300_20250208122205211_photo_75637b91f7d4.jpg,신대방삼거리역,"통닭,누룽지통닭",서울특별시 동작구 상도로12길 13,12:00,23:30,02-826-8996,"단체모임,모임장소","야장,넓은,점심식사,저녁식사,테라스,야외테라스",37.4991896729516,126.929688649391
40,한사라참치,https://d12zq4w4guyljn.cloudfront.net/300_300_20240707050134672_photo_75637b91f7d4.webp,신대방삼거리역,"참치회,참치무한리필",서울특별시 동작구 여의대방로24길 141,14:00,01:00,02-826-5100,"가족외식,혼술","캐주얼한,술안주,저녁식사,연중무휴,개별룸,바자리",37.4991824992095,126.927951166467
41,우니꾸,https://d12zq4w4guyljn.cloudfront.net/300_300_20240908230916_photo1_0bfd7e730f3d.webp,신대방삼거리역,"야끼니꾸,우설",서울특별시 동작구 국사봉1길 4,17:00,22:30,0507-1438-2900,"혼술,접대","지역주민이찾는,아담한,저녁식사,콜키지,다찌석",37.4987738088069,126.928852981582
42,카페 알코브,https://d12zq4w4guyljn.cloudfront.net/300_300_20250703013151_photo1_b27a90652516.webp,신대방삼거리역,"카페,디저트",서울특별시 동작구 대방동1길 12 1층,08:00,21:00,0507-1356-9870,"데이트,소개팅","깔끔한,분위기좋은,점심식사,야외테라스,반려동물동반",37.5003785465597,126.926572352836
43,황금수산,https://d12zq4w4guyljn.cloudfront.net/300_300_20250207011712044_photo_75637b91f7d4.jpg,신대방삼거리역,"횟집,대방어",서울특별시 동작구 상도로 48 1층,15:00,00:00,0507-1353-6637,"회식,가족외식","가성비좋은,깔끔한,저녁식사,배달",37.4995724109162,126.925842135228
44,우리숯불국밥 본정,https://d12zq4w4guyljn.cloudfront.net/300_300_20250503180038_photo1_3c232e2fcc86.jpg,신대방삼거리역,국밥,"서울특별시 동작구 국사봉1길 12 ,1층(상도동, 진선빌딩)",,,,,,37.4987849415093,126.929236790898
45,발리다포차 서울신대방삼거리점,https://d12zq4w4guyljn.cloudfront.net/300_300_20240818014714430_photo_75637b91f7d4.webp,신대방삼거리,"술집,포차",서울특별시 동작구 상도로 101 나동 2층,17:00,03:00,02-3280-2362,"술모임,생일파티","시끌벅적한,안주,저녁식사",37.5004977721076,126.931561556124
46,소문난포장마차,https://d12zq4w4guyljn.cloudfront.net/300_300_20250528105141_photo1_73d7bd3eeb1b.webp,신대방삼거리,포차,서울특별시 동작구 여의대방로24차길 48,,,02-813-2236,"술모임,낮술","서민적인,야장,야외자리",37.4988567675559,126.927921737318
47,숲,https://d12zq4w4guyljn.cloudfront.net/300_300_20250206041039659_photo_75637b91f7d4.jpg,신대방삼거리역,"이자카야,텐동",서울특별시 동작구 여의대방로22길 121 상가동1층 1431호,16:30,02:00,010-9883-3295,"술모임,혼술","가성비좋은,안주,저녁식사,바자리,다찌석,배달",37.4983519180861,126.925286048904
48,라밥 신대방삼거리점,https://d12zq4w4guyljn.cloudfront.net/300_300_20260406080730_photo1_3c232e2fcc86.webp,신대방삼거리역,"밥집,김밥",서울특별시 동작구 보라매로 106 1층,00:00,24:00,02-821-5400,,"깔끔한,다양한메뉴,점심식사,배달",37.4987076494436,126.928363487917
49,소곱창 클라쓰,https://d12zq4w4guyljn.cloudfront.net/300_300_20260318071259_photo1_3c232e2fcc86.webp,신대방삼거리역,"곱창,소곱창",서울특별시 동작구 여의대방로22길 132 1층 102호,14:00,00:00,0507-1381-8710,"낮술,모임장소","깔끔한,술안주,저녁식사",37.4981513585394,126.927168804832
50,고유부,https://d12zq4w4guyljn.cloudfront.net/300_300_20260404113820671_photo_06158889def5.webp,신대방삼거리,"묵은지,김밥",서울특별시 동작구 국사봉길 33 1층,08:00,21:00,0507-1410-7819,,"푸짐한,동네사람,아침식사,점심식사,저녁식사,배달",37.4979243176186,126.929718446668
51,뿌루밀리 신대방삼거리역점,https://d12zq4w4guyljn.cloudfront.net/300_300_20240306195629_photo1_3c232e2fcc86.webp,신대방삼거리역,"커피,테이크아웃카페",서울특별시 동작구 국사봉길 2 1층 뿌루밀리,08:00,22:00,02-3280-3330,간식,"캐주얼한,저렴한,점심식사,테이크아웃",37.498822636271,126.928393911783
52,한솔웰빙쌈밥시골보리밥,https://d12zq4w4guyljn.cloudfront.net/300_300_20240619092503_photo1_904849d8beeb.webp,성대시장,"쌈밥,제육쌈밥",서울특별시 동작구 성대로2길 7,11:00,22:00,02-6081-5551,"생방송투데이,데이트,혼밥","푸짐한,점심맛집,점심식사,저녁식사,좌식",37.4993656537497,126.931709717703
53,오봉집 신대방삼거리역점,https://d12zq4w4guyljn.cloudfront.net/300_300_20260226110950_photo1_3c232e2fcc86.webp,신대방삼거리역,"낙지볶음,직화낙지볶음",서울특별시 동작구 대방동길 6 1층 108호,11:00,22:00,02-3280-0644,"회식장소,모임장소","불맛,매콤한,셀프바,배달",37.5003791922191,126.927913262343
54,은우네간식,https://d12zq4w4guyljn.cloudfront.net/750_750_20260107032134_photo1_3c232e2fcc86.webp,신대방삼거리역,붕어빵,서울특별시 동작구 국사봉1길 63,,,,,,37.4985318183304,126.931477517034
55,탕화쿵푸마라탕 대방점,https://d12zq4w4guyljn.cloudfront.net/300_300_20260107100150_photo1_2e0a34e50e59.webp,신대방삼거리역,"마라탕,마라샹궈",서울특별시 동작구 보라매로 113 203호,11:00,23:30,02-3280-2577,"혼밥,해장","깔끔한,매콤,점심식사,저녁식사,셀프바,배달",37.4994633095093,126.927896614044
56,시선 신대방삼거리역점,https://d12zq4w4guyljn.cloudfront.net/300_300_20251222064342_photo1_3c232e2fcc86.webp,신대방삼거리,"이자카야,술집",서울특별시 동작구 보라매로 93 지하1층,17:00,04:00,02-6465-6748,"회식,송년회","분위기좋은,아늑한",37.4977975981503,126.927714337339
57,큰맘할매순대국 신대방삼거리역점,https://d12zq4w4guyljn.cloudfront.net/300_300_20260226055310_photo1_3c232e2fcc86.webp,신대방삼거리역,"순대국,국밥",서울특별시 동작구 국사봉1길 11 대룡빌딩,10:00,00:00,02-822-5151,"해장,혼밥","시끌벅적한,얼큰,아침식사,저녁식사,셀프바,배달",37.4990136207961,126.929243360392
58,회가대표초밥24 신대방삼거리점,https://d12zq4w4guyljn.cloudfront.net/300_300_20240221040354598_photo_06158889def5.webp,신대방,"스시,연어초밥",서울특별시 동작구 보라매로 98 1층,00:00,24:00,0507-1368-6306,"혼밥,야식","지역주민이찾는,저렴,아침식사,저녁식사,연중무휴,포장전문,배달",37.4979900385753,126.928281846408
59,호치킨 신대방삼거리역 1번출구점,https://d12zq4w4guyljn.cloudfront.net/300_300_20240914001014_photo1_0bfd7e730f3d.webp,신대방삼거리역,치킨,서울특별시 동작구 상도로 78 1층,14:00,00:00,02-825-5727,"술모임,야식","서민적인,매콤,저녁식사,테이크아웃,와이파이,배달",37.4995449770673,126.929148090508
60,뱃살도둑 신대방삼거리점,https://d12zq4w4guyljn.cloudfront.net/300_300_20260401123018253_photo_893cdf7af757.webp,신대방삼거리역,"포케,샐러드",서울특별시 동작구 여의대방로22길 121 상가동 1층 1404호 뱃살도둑 신대방삼거리점,10:00,21:30,02-3280-7751,"다이어트식단,혼밥","서민적인,다양한메뉴,저녁식사,셀프코너,바테이블,배달",37.498386,126.927045
61,혼미 신대방삼거리직영점,https://d12zq4w4guyljn.cloudfront.net/300_300_20251127123647_photo1_3c232e2fcc86.webp,신대방삼거리역,"이자카야,꼬치",서울특별시 동작구 여의대방로22길 121 상가동 1층 1452호 혼미 신대방삼거리직영점,17:00,03:00,02-3280-1078,"소개팅장소,데이트","안주,2차,콜키지",37.499028,126.926597
62,양은이네 신대방삼거리역직영점,https://d12zq4w4guyljn.cloudfront.net/300_300_20250425182246_photo1_3c232e2fcc86.jpg,신대방삼거리,"동태탕,오징어보쌈",서울특별시 동작구 보라매로 93 1층,11:00,22:30,0507-1410-7887,"회식,술모임","시끌벅적한,깔끔한,점심식사,저녁식사,셀프바,예약가능,무료주차",37.4977975981503,126.927714337339
63,포안베트남쌀국수,https://d12zq4w4guyljn.cloudfront.net/750_750_20260307073113_photo1_aec27fd59f7e.webp,신대방삼거리역,베트남음식,서울특별시 동작구 국사봉1길 11 1층,10:30,21:00,0507-1348-1007,"혼밥,해장","깔끔한,푸짐한,점심식사,셀프바,넓은테이블,배달",37.4990136207961,126.929243360392
64,경성 찹쌀꽈배기,https://d12zq4w4guyljn.cloudfront.net/750_750_20250327044628863_photo_2ab46e76d287.webp,신대방삼거리역,"꽈배기,핫도그",서울특별시 동작구 국사봉1길 11 1층,10:30,22:00,02-825-1158,간식,"저렴,매콤,테이크아웃",37.4990136207961,126.929243360392
65,한울전집,https://d12zq4w4guyljn.cloudfront.net/750_750_20250831102452_photo1_3c232e2fcc86.webp,신대방삼거리역,전집,서울특별시 동작구 국사봉1길 37 2층,16:00,01:00,02-824-9020,,"비오는날,안주",37.4991536248024,126.930589431684
66,시래불고기 화풍정,https://d12zq4w4guyljn.cloudfront.net/300_300_20231122010533_photo1_6883ec65ce26.webp,성대시장,"시래기불고기,한식",서울특별시 동작구 상도로 102 성대전통시장 2층,11:00,21:30,0507-1489-3507,"모범음식점,가족외식,회식","서민적인,깔끔한,점심식사,저녁식사,무료주차",37.4999426964441,126.931776254273
67,미르양 피자,https://d12zq4w4guyljn.cloudfront.net/300_300_20241016111332_photo1_904849d8beeb.webp,신대방삼거리역,"피자,피자집",서울특별시 동작구 여의대방로24길 101 지하1층,11:30,22:00,0507-1374-3278,"데이트,모임","깔끔한,예약,점심식사,저녁식사,반려동물동반,넓은테이블,배달",37.4990877047725,126.925611349157
68,피맥 신대방점,https://d12zq4w4guyljn.cloudfront.net/300_300_20251127125901_photo1_3c232e2fcc86.webp,신대방삼거리,"피자,피맥",서울특별시 동작구 여의대방로24길 131 (대방동),18:00,03:00,070-7631-3727,"간단히한잔,데이트","안주,2차,연중무휴",37.4993119772556,126.927368296713
69,돌솥밥 & 생선구이,https://d12zq4w4guyljn.cloudfront.net/300_300_20251108101847704_photo_6624c2839efa.webp,신대방삼거리역,"생선구이,돌솥밥",서울특별시 동작구 여의대방로22길 112,10:30,21:00,02-816-3452,"혼밥,가족외식","서민적인,푸짐한,점심식사,저녁식사,아기의자,와이파이",37.4979604415664,126.926162859469
70,코랄밸리,https://d12zq4w4guyljn.cloudfront.net/750_750_20260127072822_photo1_3c232e2fcc86.webp,신대방삼거리역,"마카롱,커피",서울특별시 동작구 국사봉1길 62,11:00,20:00,0507-1309-2282,,"아담한,아기,테이크아웃,배달",37.4986545266946,126.931307434289
71,인생곱창,https://d12zq4w4guyljn.cloudfront.net/300_300_20240603125038_photo1_4f29965b2826.webp,신대방삼거리역,"곱창,소곱창",서울특별시 동작구 상도로12길 5-4 유천빌딩,16:30,01:00,02-822-7062,"술모임,회식","지역주민이찾는,깔끔한,저녁식사",37.4992950795064,126.930125411574
72,미소찬,https://d12zq4w4guyljn.cloudfront.net/750_750_20250406165657_photo1_3c232e2fcc86.webp,성대시장,"반찬가게,젓갈전문",서울특별시 동작구 상도로 102,,,,전참시,저렴,37.4999426964441,126.931776254273
73,노량진 수제비,https://d12zq4w4guyljn.cloudfront.net/300_300_20260320120008374_photo_.webp,신대방삼거리역,"수제비,보리밥",서울특별시 동작구 여의대방로22길 121 보라매자이더포레스트 상가 1219호,,,010-2937-5359,"식신로드,혼밥,해장","서민적인,깔끔한,점심식사,저녁식사,셀프바",37.4983519180861,126.925286048904
74,카츠디나인 본점,https://d12zq4w4guyljn.cloudfront.net/300_300_20250928085228771_photo_c2f5e0670740.webp,신대방삼거리역,"카츠,돈까스",서울특별시 동작구 국사봉1길 12-5 1층,11:30,21:20,0507-1307-4150,"데이트,혼밥","캐주얼한,깔끔한,점심식사,저녁식사,바테이블,예약가능,무료주차",37.4985131083097,126.929237386672
75,심야식당중도,https://d12zq4w4guyljn.cloudfront.net/300_300_20260406080415_photo1_3c232e2fcc86.webp,신대방삼거리역,"이자카야,술집",서울특별시 동작구 여의대방로22길 121 상가동 1층,18:00,03:00,010-7789-5990,"데이트,혼술","깔끔한,분위기좋은,저녁식사,연중무휴,예약필수,콜키지",37.4983519180861,126.925286048904
76,마라홀릭 마라탕 신대방점,https://d12zq4w4guyljn.cloudfront.net/300_300_20240629082428452_photo_c5fc37379e10.webp,신대방삼거리,마라탕,서울특별시 동작구 여의대방로22길 121 보라매자이아파트 상가 2층 2431호,11:00,22:00,0507-1331-3368,"혼밥,혼술","깔끔한,다양한메뉴,저녁식사,셀프바,유아의자,배달",37.4983519180861,126.925286048904
77,사나운치킨 신대방삼거리점,https://d12zq4w4guyljn.cloudfront.net/300_300_20240217121458_photo1_3c232e2fcc86.webp,신대방삼거리역,치킨,서울특별시 동작구 국사봉1길 21,13:00,00:30,02-813-2232,"야식,혼술","서민적인,저렴,저녁식사,테이크아웃,배달",37.4990365999776,126.92970202423
78,찰찰보리식빵 신대방삼거리역점,https://d12zq4w4guyljn.cloudfront.net/300_300_20251110115921_photo1_c1847619d700.webp,신대방삼거리역,식빵,서울특별시 동작구 상도로 80 1층,08:00,22:00,0507-1359-8863,간식,"저렴,가성비좋은",37.4995366451478,126.929377781936
79,울엄마 떡볶이,https://d12zq4w4guyljn.cloudfront.net/300_300_20231009103123_photo1_a9bbdd15780b.webp,신대방삼거리역,떡볶이,서울특별시 동작구 국사봉1길 4,11:30,23:00,02-869-5300,"간식,혼자먹기","서민적인,매콤,점심식사,저녁식사",37.4987738088069,126.928852981582
80,버거리 신대방삼거리역점,https://d12zq4w4guyljn.cloudfront.net/300_300_20241222021021331_photo_36a2bf515749.webp,신대방삼거리역,수제버거,서울특별시 동작구 상도로 62 칸타빌레 1층 101호,10:00,21:00,02-817-8170,"데이트,혼밥","깔끔한,아담한,점심식사,테이크아웃,바테이블",37.4995457952711,126.92737960531
81,유가네닭갈비 신대방삼거리점,https://d12zq4w4guyljn.cloudfront.net/300_300_20241201164906_photo1_be536599d76f.webp,신대방삼거리역,닭갈비,서울특별시 동작구 국사봉1길 4 2층,11:00,22:00,0507-1340-2006,"식사모임,술모임","시끌벅적한,매콤,점심식사,저녁식사,셀프바,유아의자,배달",37.4987738088069,126.928852981582
82,몽소,https://d12zq4w4guyljn.cloudfront.net/300_300_20240221045119226_photo_06158889def5.webp,신대방삼거리역,빵,서울특별시 동작구 상도로 65 대방동빌딩,08:00,23:55,02-815-4058,"간식,기념일","고급스러운,무설탕,점심식사,저녁식사",37.4999838361632,126.927922011043
